educatorID,regionID,eName,position,subject,qualification,birthDate,sex,schoolID
1,2,Lisa Vasquez,Teacher,Geography,PhD,1978-10-08,Female,259
2,4,Paul Matthews,Teacher,Physics,Diploma,1978-10-08,Female,251
3,2,Calvin Horn,Teacher,Geography,PhD,1978-10-08,Female,193
4,3,Brittany Martinez,Teacher,History,Master's degree,1978-10-08,Male,202
5,1,Michael Brown,Teacher,Sesotho,Diploma,1978-10-08,Female,36
6,3,Jessica Carrillo,Teacher,Biology,PhD,1978-10-08,Male,310
7,2,Katelyn Garcia,Teacher,Physics,PhD,1978-10-08,Male,204
8,1,Bryan Mason,Teacher,Geography,Bachelor's degree,1978-10-08,Male,123
9,2,Jade Roberts,Teacher,Geography,PhD,1978-10-08,Female,253
10,4,Jessica Phillips,Teacher,Mathematics,Master's degree,1978-10-08,Male,4
11,4,Rebecca Reynolds,Teacher,Geography,PhD,1978-10-08,Male,114
12,1,Kenneth Fischer,Teacher,Chemistry,Bachelor's degree,1978-10-08,Male,141
13,3,Juan Smith,Teacher,English,Master's degree,1978-10-08,Male,245
14,2,Jennifer Jones,Teacher,Biology,Diploma,1978-10-08,Male,69
15,2,Edward Ward,Teacher,Geography,Bachelor's degree,1978-10-08,Female,165
16,3,Jessica Ryan,Teacher,Mathematics,PhD,1978-10-08,Female,297
17,2,Victoria Myers,Teacher,Biology,Diploma,1978-10-08,Female,56
18,1,Calvin Black,Teacher,Geography,Master's degree,1978-10-08,Female,123
19,4,Anthony Jarvis,Teacher,Physics,Diploma,1978-10-08,Female,319
20,1,Amy Johnson,Teacher,Accounting,Diploma,1978-10-08,Male,17
21,1,Samuel Mccoy,Teacher,Physics,Diploma,1978-10-08,Female,111
22,1,Tina Hall,Teacher,Biology,Bachelor's degree,1978-10-08,Male,50
23,2,Todd Bartlett,Teacher,Chemistry,Bachelor's degree,1978-10-08,Female,259
24,2,Thomas Griffin,Teacher,English,Diploma,1978-10-08,Female,91
25,1,Jillian Watson,Teacher,Sesotho,PhD,1978-10-08,Male,203
26,3,Jeffrey Garcia,Teacher,Biology,Master's degree,1978-10-08,Male,219
27,2,Alexander Jackson,Teacher,Geography,PhD,1978-10-08,Female,104
28,3,Nicole Campbell,Teacher,English,Diploma,1978-10-08,Female,14
29,4,Amanda Garcia,Teacher,Accounting,PhD,1978-10-08,Male,18
30,2,Eric Evans,Teacher,Sesotho,Bachelor's degree,1978-10-08,Female,173
31,3,Renee Rich,Teacher,Accounting,Master's degree,1978-10-08,Female,29
32,1,George Shaw,Teacher,Sesotho,PhD,1978-10-08,Male,60
33,2,Brett Singleton,Teacher,Chemistry,Bachelor's degree,1978-10-08,Female,229
34,2,Lisa Davenport,Teacher,Sesotho,Bachelor's degree,1978-10-08,Female,52
35,4,Diana Huang,Teacher,Geography,PhD,1978-10-08,Male,192
36,4,Steven Howell,Teacher,Chemistry,Diploma,1978-10-08,Female,162
37,1,Robert Carroll,Teacher,Accounting,Master's degree,1978-10-08,Female,150
38,2,Heidi Mccormick,Teacher,Biology,Bachelor's degree,1978-10-08,Male,72
39,2,Joyce Spears,Teacher,Physics,Bachelor's degree,1978-10-08,Male,298
40,2,Matthew Herrera,Teacher,Geography,Diploma,1978-10-08,Female,265
41,4,Mark Church,Teacher,Physics,Bachelor's degree,1978-10-08,Male,258
42,2,Michael Sutton,Teacher,Physics,Master's degree,1978-10-08,Male,164
43,3,William Carr,Teacher,Sesotho,Master's degree,1978-10-08,Female,14
44,3,Cynthia Moreno,Teacher,Sesotho,Master's degree,1978-10-08,Male,138
45,4,Brenda Hale,Teacher,Physics,PhD,1978-10-08,Male,32
46,2,Micheal Ball,Teacher,English,Bachelor's degree,1978-10-08,Female,325
47,3,Nicholas Fisher,Teacher,Physics,Diploma,1978-10-08,Male,179
48,1,Lori Buck,Teacher,History,PhD,1978-10-08,Female,207
49,1,Sara Preston,Teacher,Accounting,PhD,1978-10-08,Male,27
50,4,Brittany Burke,Teacher,Mathematics,PhD,1978-10-08,Female,286
51,2,Juan Turner,Teacher,Mathematics,Diploma,1978-10-08,Female,306
52,2,Michelle Krueger,Teacher,Mathematics,Master's degree,1978-10-08,Female,113
53,3,Andrew Haas,Teacher,Geography,Diploma,1978-10-08,Male,320
54,2,Katie Myers,Teacher,English,Diploma,1978-10-08,Male,3
55,3,James Lopez,Teacher,Chemistry,Bachelor's degree,1978-10-08,Female,179
56,2,Heather Gonzales,Teacher,History,Bachelor's degree,1978-10-08,Male,72
57,2,David Banks,Teacher,History,Bachelor's degree,1978-10-08,Male,93
58,4,Richard Lee,Teacher,Mathematics,Diploma,1978-10-08,Male,83
59,1,Patricia Campbell,Teacher,Sesotho,Bachelor's degree,1978-10-08,Female,78
60,2,Kaitlyn Campbell,Teacher,English,PhD,1978-10-08,Male,147
