studentID,studentName,studentLastName,regionID
1,Kristen,Luna,2
2,Laura,Ward,4
3,John,Mills,4
4,Debbie,Williams,2
5,Adrienne,Evans,4
6,Michelle,Coleman,4
7,Brooke,Abbott,4
8,Jessica,Mooney,3
9,John,Norton,1
10,Robin,Page,1
11,John,Scott,1
12,Pamela,Silva,2
13,Stacey,Spencer,2
14,Matthew,Moore,1
15,Laura,Williams,2
16,Joy,Santos,3
17,Jason,Hansen,2
18,Bethany,Taylor,4
19,Justin,Robertson,4
20,Michael,Sanford,4
21,Elizabeth,Cook,1
22,Elizabeth,Wright,1
23,Donna,Miller,4
24,Vanessa,Thompson,2
25,Michele,Benson,3
26,Paul,Rogers,1
27,Laura,Hardin,4
28,Gregory,Smith,2
29,Theresa,Weaver,4
30,Kevin,Medina,4
31,Bailey,Ibarra,3
32,Lucas,Hanson,2
33,Denise,Jones,3
34,Carla,Kelly,2
35,Howard,Brown,3
36,Jessica,Jones,1
37,Michelle,Johnson,1
38,Christopher,Beltran,2
39,Robin,Nelson,2
40,Tina,Patel,1
41,Sheila,Chan,1
42,Maxwell,Foster,2
43,Paul,Richardson,3
44,Nancy,Thomas,3
45,Mario,Jones,1
46,Olivia,Sweeney,1
47,Doris,Ortiz,2
48,Juan,Arnold,3
49,Gina,Young,1
50,Susan,Nelson,3
51,Michelle,Baldwin,1
52,Charles,Martinez,4
53,Keith,Lee,1
54,Matthew,Chung,4
55,Frederick,Pollard,1
56,Andrea,Reynolds,1
57,Patricia,Lewis,4
58,Christopher,Fields,4
59,Connie,Page,2
60,Lori,Brady,2
61,Natalie,Hardy,3
62,Justin,Shields,1
63,Linda,Taylor,4
64,Phillip,Smith,4
65,Jennifer,Edwards,2
66,Sara,Jenkins,1
67,Austin,Howell,4
68,Russell,Luna,2
69,Jennifer,Smith,1
70,Timothy,Friedman,3
71,Claudia,Stewart,4
72,David,Gonzalez,4
73,Dana,Weber,2
74,Melissa,Elliott,1
75,Kevin,Lawson,2
76,Jennifer,Price,2
77,Eileen,Ross,4
78,Catherine,Nelson,3
79,Chase,Banks,1
80,Reginald,Wallace,2
81,Jesse,Bryant,4
82,Calvin,Hernandez,3
83,Matthew,Flowers,4
84,Edward,Robinson,1
85,Jacqueline,Carney,3
86,Cody,Hill,2
87,Jason,Norman,2
88,Christine,Miles,2
89,Devin,Medina,1
90,Kelli,Ramirez,1
91,Molly,Miller,4
92,Sandra,Herrera,1
93,Renee,Lewis,4
94,Mark,Adams,3
95,Gregory,Mcguire,1
96,Lisa,Williams,2
97,Gabrielle,Chavez,1
98,Nicole,Krueger,2
99,Virginia,Weeks,2
100,Benjamin,Yu,1
101,Karen,Caldwell,3
102,Jason,Taylor,2
103,Renee,Mann,3
104,James,Henderson,1
105,Michelle,Lewis,2
106,Nicholas,Ramirez,3
107,Kevin,Jones,2
108,Joseph,Kim,3
109,Dennis,Wilkinson,1
110,Joshua,Edwards,1
111,Timothy,Davis,1
112,Christina,Cobb,2
113,Sarah,Rosales,2
114,Thomas,Howard,2
115,Dana,Watkins,2
116,Antonio,Gonzales,1
117,Thomas,Jordan,4
118,John,Henderson,3
119,Lawrence,Ho,1
120,Nathan,Bradley,2
121,Thomas,Hernandez,1
122,Amanda,Holmes,3
123,Ralph,Hernandez,2
124,Marcus,Wilson,2
125,Christopher,Lam,1
126,John,Carrillo,3
127,Brent,Campbell,1
128,Malik,Banks,4
129,Daniel,Brown,2
130,Brooke,Phillips,3
131,Kyle,Pugh,4
132,Timothy,Brock,1
133,Amanda,Livingston,1
134,David,Richardson,2
135,Ana,Perry,1
136,Raymond,Martin,2
137,Amanda,Woodward,2
138,Tara,Adams,3
139,Regina,Diaz,1
140,Jenny,Macdonald,1
141,Kevin,Carroll,2
142,John,Harris,4
143,Jesse,Ayala,1
144,Elizabeth,Moss,4
145,Logan,Mason,1
146,Jeremy,Allison,3
147,Maurice,Maldonado,3
148,Robert,Bond,2
149,Juan,Johnson,1
150,Xavier,Conner,4
151,Heather,Torres,4
152,Kayla,Clark,1
153,Emily,Castillo,4
154,Richard,Barton,1
155,Amber,Stewart,1
156,Martha,Smith,2
157,Barry,Meadows,2
158,April,Moran,3
159,Sandra,Casey,4
160,Mark,Clark,2
161,Margaret,Clark,2
162,Janice,Walker,1
163,Victoria,Ellis,1
164,Hayden,Johnson,1
165,Matthew,Day,3
166,Karen,Stewart,2
167,Sarah,Olsen,1
168,Monica,Collins,2
169,Kristen,Dominguez,2
170,James,Flores,4
171,Christopher,Miller,2
172,Christopher,Hunt,3
173,Robert,Todd,1
174,Jennifer,Fields,2
175,Steven,Johnson,3
176,Jill,Moore,4
177,Eric,Perkins,1
178,Martin,Hunt,2
179,Keith,Jackson,2
180,Brooke,Zhang,4
181,Todd,Pierce,2
182,Amanda,Monroe,1
183,Kevin,Olson,4
184,Marcia,Frazier,4
185,Eric,Russell,2
186,Stephanie,Leon,2
187,Stephanie,Leon,1
188,Samantha,Martinez,1
189,Brittany,Hernandez,2
190,John,Jackson,4
191,Erik,Huff,3
192,Kimberly,Barnett,4
193,Madison,Murphy,1
194,Troy,Simon,1
195,Pamela,Moore,1
196,Abigail,Charles,2
197,Stephanie,Mata,1
198,Kevin,Jacobs,4
199,Debra,Taylor,3
200,Dominique,Franklin,2
201,Jeff,Nelson,3
202,Edgar,Rivera,1
203,Cheryl,Evans,3
204,Sabrina,West,3
205,Mary,Shea,2
206,Michele,Brooks,3
207,Mary,Estrada,1
208,Amy,Hammond,1
209,Joseph,Haney,3
210,Stephanie,Perry,3
211,John,Reyes,3
212,Stephanie,Sanchez,1
213,Jasmine,Mcdonald,3
214,Carl,Evans,2
215,Sandra,Ward,1
216,Samantha,Brown,2
217,Megan,Walker,4
218,Shane,Anderson,1
219,Sharon,Dawson,1
220,Sherri,Avila,1
221,Kelly,Smith,2
222,Daniel,Hamilton,4
223,Tonya,Bradley,3
224,Gwendolyn,Ortega,2
225,Jessica,Thomas,4
226,Matthew,Oliver,1
227,Bradley,Perez,2
228,Christy,Davis,4
229,April,Sanders,2
230,Mark,Patton,1
231,Robert,Paul,2
232,Lisa,Bowman,2
233,Barbara,Harper,2
234,Jennifer,Oliver,2
235,Jose,Hull,1
236,Michelle,Rodriguez,1
237,Kevin,White,4
238,Diana,Alexander,3
239,Evan,Morris,1
240,Steve,King,1
241,Mike,Morgan,3
242,Amber,Smith,4
243,Linda,Lopez,4
244,Stacy,Lawrence,4
245,Keith,Coleman,1
246,Candace,Graham,2
247,Audrey,Kim,4
248,Lawrence,Smith,3
249,Jessica,Page,4
250,Elizabeth,Nguyen,1
251,Donna,Davis,1
252,Ryan,Cross,2
253,Kathryn,Smith,4
254,Stephen,Ruiz,1
255,Carlos,Gonzales,2
256,Steven,Martin,1
257,Kevin,Stanley,4
258,Christina,Hogan,4
259,Eric,Taylor,2
260,Caitlin,George,1
261,Gabriella,Compton,2
262,Caitlin,Wade,3
263,Erin,Morris,1
264,James,Smith,2
265,Rebecca,Hicks,2
266,Lauren,Love,1
267,David,Rogers,2
268,Dustin,Cabrera,1
269,Lauren,Williams,3
270,Malik,Romero,4
271,Patricia,White,2
272,Maria,Hebert,1
273,Anna,Riddle,2
274,Jessica,Hawkins,2
275,Brian,Bailey,4
276,Marc,English,4
277,Katelyn,Perez,2
278,Erika,Owens,1
279,Lucas,Miller,1
280,Breanna,Thomas,2
281,Stacy,Dunn,3
282,Alyssa,Stevens,2
283,Andrew,Kennedy,3
284,Michael,Alvarado,1
285,Emily,Harvey,2
286,Kathryn,Clark,2
287,Megan,Wheeler,2
288,Kyle,Nelson,1
289,Veronica,Cooper,4
290,Kristin,Fuller,1
291,Sarah,Foster,1
292,Glenn,Walker,1
293,Benjamin,Fleming,1
294,Dennis,Russo,3
295,Philip,Ward,1
296,Betty,Byrd,4
297,Monique,Rose,2
298,Kristine,Fowler,2
299,Jill,Quinn,2
300,Samuel,Smith,3
301,John,Dunn,1
302,James,Schmidt,1
303,David,Mccoy,1
304,Alyssa,Simmons,3
305,Eric,Weber,3
306,Justin,Miller,4
307,Eric,Hughes,3
308,Jessica,Cross,2
309,Mason,Ortiz,1
310,Michelle,Dickerson,2
311,Todd,Gray,4
312,Timothy,Carter,2
313,Evan,Spencer,3
314,Kathleen,Turner,1
315,Melissa,Mcguire,1
316,Jennifer,Ritter,2
317,Courtney,Harrington,1
318,James,Anderson,2
319,Diana,Dyer,3
320,James,Johnson,2
321,Annette,Castro,1
322,Danny,Kane,3
323,Angelica,Monroe,1
324,Roger,Greene,2
325,Nancy,Hogan,2
326,Rose,Haas,1
327,Jessica,Vargas,2
328,Donald,Stark,3
329,Travis,Trujillo,2
330,Charles,Turner,2
331,Cheryl,Brown,2
332,Gregory,Chapman,1
333,Erica,Castillo,1
334,Adam,Lewis,1
335,Shawn,Chambers,4
336,Mary,Parker,2
337,James,Johns,2
338,James,Murray,4
339,Jennifer,Peterson,2
340,John,Lucas,2
341,Paige,Robinson,1
342,Morgan,Patterson,4
343,Candace,Velasquez,2
344,Jeanette,Estrada,2
345,Kimberly,White,2
346,Jonathan,Hernandez,4
347,Brenda,Allen,3
348,Gregory,Cunningham,3
349,Robert,Smith,3
350,Jamie,Harris,2
351,Paul,Haynes,1
352,Colleen,Dillon,2
353,Thomas,Reed,1
354,Katherine,Jones,1
355,Jared,Houston,1
356,John,Robinson,1
357,Kelly,Calhoun,3
358,Christine,Nelson,4
359,Emily,Yates,2
360,Shannon,Brewer,1
361,Johnny,Sanchez,1
362,Robert,Mathews,1
363,Kelly,Mayer,2
364,Kelly,Dixon,1
365,Fernando,Fischer,4
366,Kathleen,Hart,1
367,Corey,Garcia,3
368,Jessica,Porter,1
